x,y
-2.300000,0.000000
-2.221429,0.054762
-2.142857,0.109524
-2.064286,0.164286
-1.985714,0.219048
-1.907143,0.273810
-1.828571,0.328571
-1.750000,0.383333
-1.671429,0.438095
-1.592857,0.492857
-1.514286,0.547619
-1.435714,0.602381
-1.357143,0.657143
-1.278571,0.711905
-1.200000,0.766667
-1.121429,0.821429
-1.042857,0.876190
-0.964286,0.930952
-0.885714,0.985714
-0.807143,1.040476
-0.728571,1.095238
-0.650000,1.150000
-0.550000,1.150000
-0.450000,1.150000
-0.350000,1.150000
-0.250000,1.150000
-0.150000,1.150000
-0.050000,1.150000
0.050000,1.150000
0.150000,1.150000
0.250000,1.150000
0.350000,1.150000
0.450000,1.150000
0.550000,1.150000
0.650000,1.150000
0.728571,1.095238
0.807143,1.040476
0.885714,0.985714
0.964286,0.930952
1.042857,0.876190
1.121429,0.821429
1.200000,0.766667
1.278571,0.711905
1.357143,0.657143
1.435714,0.602381
1.514286,0.547619
1.592857,0.492857
1.671429,0.438095
1.750000,0.383333
1.828571,0.328571
1.907143,0.273810
1.985714,0.219048
2.064286,0.164286
2.142857,0.109524
2.221429,0.054762
2.300000,0.000000
